,Q1,Q9a,Q9b,Q9c,Q9d,Q9e,Q16a,Q16b,Q16c,Q16d,Q16e,Q16f,Q16g,Q16h,Q16i,Q17a,Q17b,Q17c,Q17d,Q18,Q20,Q22,p_gender_sdc,p_age_group_sdc,p_education_sdc,gambled_before
1824,2,3,3,1,3,3,2,1,1,3,4,4,4,2,2,4,1,2,2,7,6,1,2,4,2,1
1825,2,3,4,3,4,4,3,1,1,4,1,4,4,1,2,4,1,1,1,7,8,2,1,1,3,0
1826,4,3,3,2,2,2,2,3,2,2,2,2,3,4,3,3,3,2,2,7,8,1,1,3,3,0
1827,2,4,3,3,2,3,3,2,1,2,2,3,3,2,2,4,2,3,3,7,7,2,1,1,3,0
1828,4,3,3,2,2,3,4,2,2,3,1,3,3,3,2,3,2,3,3,7,7,3,1,2,1,1
1829,4,4,3,2,4,2,2,2,2,3,1,3,3,3,2,1,3,1,4,5,6,1,1,1,2,1
1830,2,3,2,2,3,3,2,2,2,3,1,3,4,3,2,2,2,3,2,6,5,1,1,2,2,0
1831,2,3,3,3,3,4,2,2,2,2,2,2,2,4,1,2,2,3,3,6,5,3,1,3,1,0
1832,4,4,4,3,3,4,2,2,2,2,2,3,3,3,2,3,2,3,2,5,5,1,2,4,2,0
1833,4,3,3,1,3,4,2,2,1,2,2,3,3,3,2,4,2,3,2,4,6,3,2,3,1,1
1834,5,3,4,3,3,3,4,1,1,3,1,4,3,1,1,4,1,3,4,3,10,3,2,1,1,1
1835,4,3,3,4,2,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,2,3,2,3,7,9,3,2,4,1,0
1836,4,4,3,3,3,4,2,2,2,3,2,3,3,3,2,3,2,3,3,5,8,1,1,2,3,0
1837,3,4,4,4,2,2,2,2,2,3,2,2,3,3,2,3,2,2,3,7,10,1,2,2,3,0
1838,2,2,1,4,1,1,1,4,4,1,4,1,1,4,4,1,4,4,1,8,10,1,1,3,3,0
1839,2,4,3,3,3,3,3,2,1,4,1,3,3,2,1,3,1,3,2,5,10,3,2,1,1,1
1840,-98,2,3,2,2,2,3,1,2,3,2,4,3,3,2,4,2,3,3,6,9,3,2,3,2,0
1841,4,4,4,4,3,2,2,2,2,3,3,3,3,3,2,3,2,3,3,7,7,1,1,3,3,0
1842,2,3,2,2,2,3,2,2,2,2,2,3,3,3,2,3,2,2,3,7,7,3,1,3,1,0
1843,4,4,4,4,2,4,2,2,2,2,3,3,3,3,2,2,2,2,2,4,5,1,2,3,1,0
1844,2,4,2,3,2,2,3,2,3,2,2,3,2,4,1,2,3,2,1,6,8,3,1,4,1,0
1845,2,3,2,2,2,3,2,1,2,2,2,3,4,3,2,2,2,2,3,7,6,1,2,3,3,0
1846,2,2,3,3,3,3,2,1,2,2,1,3,3,2,1,4,1,3,3,8,8,1,2,3,3,0
1847,2,2,3,3,2,3,3,2,2,3,1,3,4,3,1,4,2,3,3,6,10,3,2,4,1,1
1848,2,3,3,3,3,3,2,1,1,3,1,4,4,1,3,4,1,4,3,7,7,1,1,4,3,0
1849,2,3,3,3,2,3,3,1,2,3,2,3,3,3,2,2,2,3,3,4,8,3,2,2,1,1
1850,2,3,3,3,3,3,2,2,2,3,2,3,3,2,2,3,2,3,2,7,6,2, ,1,1,1
1851,2,4,1,3,1,3,2,2,1,4,2,4,4,2,1,3,2,-98,2,7,5,1,2,4,3,1
1852,4,3,3,3,3,3,2,2,3,3,2,3,2,3,2,3,2,2,1,5,5,3,2,1,1,0
1853,4,3,3,2,3,3,2,3,2,2,2,3,2,4,1,4,2,3,2,3,8,1,1,1,3,1
1854,2,3,3,3,3,3,2,2,3,3,2,3,3,3,3,3,3,3,3,5,5,3,1, ,2,0
1855,4,3,4,2,2,3,2,1,1,3,1,4,4,2,1,4,2,3,3,3,5,1,1,1,2,0
1856,4,3,3,3,2,2,2,1,2,3,2,4,4,2,2,4,1,3,3,4,6,1,1,4,3,0
1857,1,3,3,3,3,3,3,2,2,2,3,3,2,4,2,3,2,2,3,4,5,1,1,4,3,0
1858,4,3,3,2,3,3,2,1,2,3,1,3,3,3,1,3,2,3,3,6,7,3,1,2,1,0
1859,2,2,4,2,3,3,3,1,1,2,2,3,3,3,3,4,2,4,3,1,10,3,2,4,1,0
1860,4,3,3,2,2,2,2,2,2,2,2,2,2,3,1,2,3,2,2,6,3,1,2,1,2,0
1861,4,3,2,1,3,3,2,1,2,3,1,4,4,2,3,4,2,3,3,2,8,3,1,3,1,0
1862,2,2,2,2,2,2,3,1,2,3,2,3,3,3,1,3,2,3,3,3,7,1,2,2,2,0
1863,4,3,3,3,2,2,2,1,1,4,1,4,4,3,1,4,4,4,2,10,10,3,1,4,3,1
1864,2,4,3,3,3,3,2,1,3,2,2,3,2,3,2,4,3,-98,2,7,5,1,1,3,2,0
1865,2,3,3,2,3,4,3,1,2,2,1,4,3,4,2,3,2,3,3,5,3,3,1,2,1,0
1866,2,3,3,3,2,2,3,1,2,3,1,4,4,1,1,3,4,3,4,5,5,3,1,3,1,1
1867,1,3,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,3,5,1,1, ,3,0
1868,2,1,1,1,1,1,2,1,3,2,2,2,3,3,2,3,1,2,3,7,6,3,1,2,2,1
1869,4,2,3,3,3,3,2,2,3,3,1,3,4,3,2,3,2,2,1,0,10,3,2,3,3,0
1870,4,3,3,3,2,2,2,1,4,1,1,4,3,2,2,2,2,2,3,4,5,1,2,4,3,0
1871,2,3,3,2,-98,2,3,2,2,3,2,3,4,-98,3,3,2,3,-98,5,5,1,2,3,3,0
1872,4,2,4,2,3,3,3,1,2,2,1,4,2,4,2,3,2,2,3,7,4,3,1,3,1,1
1873,2,3,3,3,2,3,2,2,2,2,2,3,2,3,2,3,3,2,2,7,9,3,2,3,1,0
1874,4,4,3,2,3,3,3,1,1,3,2,4,3,3,2,4,1,3,2,7,6,3,1,2,1,1
1875,4,3,2,1,2,2,2,1,1,2,1,1,2,2,2,4,2,2,2,6,7,3,1,4,1,0
